Description,Diameter,Pitch,Length,Material Grade,Product Type,With nuts?,Nut Material Grade,Nut Type,Finishing
"1 1/4-8 X 20 1/4"" ASTM A320 GR   L7S, TIEBACK CONNECTOR MECH RELEASE BOLT, PER M21927 PER DWG 1112DU1121986 REV A 
COATED DARK GREEN PER C81001 REV P",,,,,,,,,
"1 1/4-8 X 16"" ASTM A320 GR L7S   TIEBACK CONNECTOR MECH RELEASE BOLT, PER M21927 PER DWG 1071DU1124978 REV A 
COATED DARK GREEN PER C81001 REV P",,,,,,,,,
5/8-11 X 3 A320 GR L7 PAD STUD COATED XYLAN 1424-181 RED PER FMC C81000 ,,,,,,,,,
"1-7/8-8 X 8""  A320 GR L7 ALL   THREAD STUDS, 32 RC MAX
(M21903) WITH CHARPY TEST,
COATED c81000 FMC RED",,,,,,,,,
11.303 OD X 8.929 ID SPRING   ,,,,,,,,,
8.427 OD X 6.615 ID SPRING   ,,,,,,,,,
"1 3/8""-8 X 6"" ASTM A320 GR L7 PAD STUD COATED RED PER C81000  ",,,,,,,,,
1 1/4-8 X 5 1/2 A320 L7 PAD STUD W/ ONE GR 2H HEAVY HEX NUT COATED 1424 RED PER FMC C81000,,,,,,,,,
1 1/4-8 X 5 1/2 L7 ALL THREAD STUD COATED C81000 RED  ,,,,,,,,,
3/4-10 X 1/2 A574-H2S HEX SOCKET DRIVE CAP SCREW COATED 1424 RED PER FMC C81000 ,,,,,,,,,
1/2-13 X 8 ASTM A574 MODIFIED SOCKET HEAD CAPSCREW COATED PE R C81001 GREEN ,,,,,,,,,
"1/2""-13 X 8 A574 SOCKET HEAD CAP SCREW PER M12203 REV E COA TED PTFE RED PER C81000 REV O ",,,,,,,,,
7.52 X 30.69 SPRING   ,,,,,,,,,
"7.52 OD X 30.69"" HIGH SPRING SERMAGARD COATED PER SPEC: C80180 (6.458 ID X 222 CL X .531 DIA)",,,,,,,,,
7.52 OD X 30.00 HIGH SPRING SERMAGARD COATED 6.45 ID X 223(DIA .531) (1.5 X 250),,,,,,,,,
"9.37 OD X 37.65"" HIGH SPRING SERMAGARD COATED PER SPEC: C80180 (7.996 ID X 281 CL X .687"" DIA)",,,,,,,,,
9.37 OD X 37.65 HIGH SPRING SERMAGARD COATED 7.99 ID X 281 (DIA .687) (1.5 X 250),,,,,,,,,
9.370 OD  X 37.650 HIGH SPRING SERMAGARD COATED PER SPEC: C80180 (7.996 ID X 281 X .687 DIAMETER),,,,,,,,,
9.370 OD X 281 CL SPRING   ,,,,,,,,,
"1-1/2""-8 X 10-3/4"" L7 PAD STUD WITH DIMENSIONS PER AWHEM PER M21901 REV M AND API 20E BSL-1 COATED PTFE RED PER C81000 REV O",,,,,,,,,
3/8-16 X 5/8 A574 H2S SOCKET   HEAD CAP SCREW PER M12203 REV E COATED C81000 REV O,,,,,,,,,
"1 3/8""-8 X 1 1/8"" X 7 1/4"" AST M A320 GR L7 PAD STUD WITH 1 A STM A194 2H NUT COATED RED PER  C81000",,,,,,,,,
"1 3/8""-8 X 1 1/8"" X 7 1/4"" AST M A320 GR L7 PAD STUD COATED R ED PER C81000 ",,,,,,,,,
"1-3/8""-8 X 1-1/8""-8 X 7.25"" A3 20 L7 COMBINATION STUD COATED C81000 RED ",,,,,,,,,
1 1/4-8 X 6 ASTM A320 L7 ALL T HREAD STUD COATED RED PER C810 0 ,,,,,,,,,
1 1/4-8 X 6 ASTM A320 L7 ALL T HREAD STUD WITH 2/ASTM A194 2H  NUTS COATED RED PER C81000 ,,,,,,,,,
"1-8 X 21 1/2 A320 GR L7M ALL   THREAD STUD WITH TWO A194 GR 2HM EHAVY HEX NUTS COATED C81000 REV O
(M21902 REV N API 20E BSL-1 AND M11700 REV G API 20E BSL-1)",,,,,,,,,
"1/2-13UNC-2A X 9"" 17-4 PH   ANNEALED DOUBLE END STUD 1"" USABLE FULL THREAD EACH END",,,,,,,,,
"1/2-13 X 9"" ASTM A564 GR 630   17-4 PH, CONDITION HH1150, 
DBL END STUD, PER M36201 REV T 
PER DWG 9007DU1127452 REV A 
UNCOATED",,,,,,,,,
1-8 X 21 1/2 A320 GR L7M ALL   THREAD STUD COATED C81000 REV O (M21902 REV N API 20E BSL-1),,,,,,,,,
"1""-8 X 11-1/2"" ASTM A320 L7 AL L THREAD STUD COATED C81000 RE D ",,,,,,,,,
"1""-8 X 11-1/2"" ASTM A320 L7 ALL THREAD STUD PER M21901 REV M API 20E BSL-1 COATED RED PER C81000 REV O",,,,,,,,,
"1""-8 X 13-1/4"" ASTM A320 L7 AL L THREAD STUD COATED C81000 RE D ",,,,,,,,,
"1""-8 X 13-1/4"" ASTM A320 L7 AL L THREAD STUD COATED C81000 RE D ",,,,,,,,,
"1-3/8-8 UNR-2A X 7-5/8"" A453   660D PAD STUD PER M36103 REV C AND API 20F BSL-2 COATED BLACK PER C81007 REV F",,,,,,,,,
"1 3/8-8 7 5/8 ASTM A453 660D   PAD STUD (AWHEM) W/ ONE A453 GR 660D NUT
COATED PTFE BLACK PER C81007 REV F 
WITH SPECIAL MASKING INSTRUCTIONS 
PER SPC10162711 REV C
(M36103 REV C  API 20F BSL-2)",,,,,,,,,
"2""-8 X 15 1/2 ASTM A453 GR 660   D PAD STUD (AWHEM) COATED 
PTFE BLACK PER C81007 REV F
W/ 5.25 NUT END THREAD LENGTH 
(M36103 REV C API 20F BSL-2)",,,,,,,,,
"1-8 X 8 1/4 ASTM A453 GR660D   PAD STUD WITH 3.25"" LG NUT END THREAD LENGTH PER M36103 REV C API 20F BSL-2 COATED C81007 REV F",,,,,,,,,
"1""-8 X 8 1/4 ASTM A453 GR 660B PAD STUD COATED BLACK PER C81007 ",,,,,,,,,
"1""-8 X 8 1/4 ASTM A453 GR 660B PAD STUD WITH 1 A453 GR 660 HEX NUT COATED C81007 BLACK ",,,,,,,,,
3/8-16 X 3 A307 HEX BOLT COATED C8100 RED  ,,,,,,,,,
5/16-18 X 3 A307 HEX HEAD BOLT COATED C81000 RED  ,,,,,,,,,
5/16-18 X 3 A307 HEX HEAD BOLT PER M12201 REV E COATED PTFE RED PER C81000 REV O ,,,,,,,,,
3.25 OD X 2.56 ID X .147TK   316 FLAT WASHER PER DWG# DU100010177 REV B,,,,,,,,,
"9.344"" OD X 9.500"" HIGH SPRING THERMOSET RED COATING PER FMC SPEC: C81000 7.25 ID X 110 CL DIA 1.047""",,,,,,,,,
1/2-13 X 1 1/2 A320 GR L7M   SOCKET HEAD CAP SCREW  FULLY THREADED PER API 20E BSL-2 AND M21926 REV C COATED C81000 REV O,,,,,,,,,
1/2-13 X 5 A320 L7S ALL THREAD STUD COATED XYLAN 1424 RED PER  FMC C81000 ,,,,,,,,,
"1/4"" 316 S/S LOCK WASHER COATE D C81000 RED  ",,,,,,,,,
"1/4""-20 X 1"" 316  S/S SOCKET HEAD CAP SCREW C81000 RED  ",,,,,,,,,
"1/4""-20 X 5/8"" 316  S/S SOCKET  HEAD CAP SCREW C81000 RED  HEAD CAP SCREW C81000 RED
COATED",,,,,,,,,
2-8 X 8 1/2 A453 GR 660D PAD   STUD PER M36103 REV C API 20F BSL-2 COATED C81007 REV F,,,,,,,,,
1-8 X 8 1/4 ASTM A453 GR 660D PAD STUD PER M36103 REV C AND API 20E BSL-2 DIMENSIONS PER AWHEM LENGTHS AND COATED BLACK PER C81007 REV F,,,,,,,,,
"1-8UNC-2A X 8 1/4 ASTM A453 GR 660D PAD STUD (AWHEM) W/ ONE ASTM A453 660D HEAVY HEX NUT COATED BLACK PER C81007 REV F 
(M36103 REV C AND API 20F BSL-2)",,,,,,,,,
